index,male_bmi,male_stature_mm
0,30.0,1679.0
1,25.6,1586.0
2,24.2,1773.0
3,27.4,1816.0
4,25.9,1809.0
5,25.3,1662.0
6,22.7,1829.0
7,25.4,1686.0
8,34.1,1761.0
9,33.4,1797.0
10,22.7,1771.0
11,26.5,1750.0
12,28.7,1703.0
13,34.3,1666.0
14,26.4,1618.0
15,27.6,1658.0
16,23.3,1732.0
17,39.2,1590.0
18,24.2,1774.0
19,21.8,1717.0
20,47.0,1653.0
21,26.8,1814.0
22,16.4,1724.0
23,30.5,1717.0
24,24.6,1695.0
25,33.6,1775.0
26,27.6,1783.0
27,22.8,1649.0
28,22.9,1709.0
29,32.1,1823.0
30,24.7,1725.0
31,25.8,1719.0
32,26.7,1795.0
33,48.9,1650.0
34,26.7,1715.0
35,20.6,1597.0
36,23.6,1631.0
37,32.2,1824.0
38,24.5,1808.0
39,20.6,1843.0
40,26.4,1607.0
41,30.9,1724.0
42,30.6,1641.0
43,35.2,1710.0
44,29.7,1763.0
45,26.5,1680.0
46,24.3,1647.0
47,30.9,1599.0
48,24.3,1671.0
49,33.7,1663.0
50,24.4,1612.0
51,30.6,1718.0
52,27.6,1859.0
53,39.2,1681.0
54,25.4,1579.0
55,28.9,1858.0
56,18.9,1796.0
57,30.3,1793.0
58,27.4,1673.0
59,25.2,1657.0
60,29.4,1704.0
61,37.7,1798.0
62,29.9,1730.0
63,24.0,1688.0
64,26.3,1720.0
65,25.0,1701.0
66,29.6,1802.0
67,25.7,1651.0
68,25.5,1553.0
69,33.2,1738.0
70,27.4,1663.0
71,27.2,1828.0
72,31.1,1691.0
73,22.7,1718.0
74,22.0,1594.0
75,29.7,1781.0
76,31.0,1719.0
77,24.7,1656.0
78,26.5,1770.0
79,28.3,1718.0
80,21.7,1703.0
81,32.7,1674.0
82,28.1,1764.0
83,22.8,1730.0
84,25.3,1603.0
85,30.8,1697.0
86,22.9,1647.0
87,24.0,1655.0
88,34.5,1696.0
89,22.9,1669.0
90,35.9,1709.0
91,31.7,1698.0
92,22.7,1647.0
93,29.5,1706.0
94,36.3,1826.0
95,26.6,1834.0
96,24.8,1696.0
97,22.2,1751.0
98,21.9,1777.0
99,33.5,1630.0
100,22.6,1800.0
101,24.8,1830.0
102,28.0,1782.0
103,22.9,1710.0
104,26.1,1770.0
105,42.8,1672.0
106,29.4,1759.0
107,36.3,1735.0
108,30.6,1805.0
109,33.3,1715.0
110,26.8,1812.0
111,28.9,1641.0
112,31.9,1758.0
113,24.6,1785.0
114,24.5,1662.0
115,29.6,1696.0
116,27.6,1798.0
117,26.2,1692.0
118,41.8,1694.0
119,32.5,1668.0
120,25.5,1717.0
121,31.5,1632.0
122,32.6,1816.0
123,23.4,1631.0
124,31.2,1587.0
125,25.3,1652.0
126,32.9,1794.0
127,21.3,1651.0
128,25.8,1861.0
129,27.0,1731.0
130,31.7,1693.0
131,23.6,1732.0
132,22.3,1690.0
133,26.8,1478.0
134,40.5,1746.0
135,23.3,1621.0
136,31.2,1816.0
137,30.4,1632.0
138,22.8,1682.0
139,23.5,1683.0
140,29.2,1726.0
141,33.2,1819.0
142,24.1,1861.0
143,33.1,1522.0
144,27.4,1769.0
145,27.3,1751.0
146,28.0,1756.0
147,25.1,1584.0
148,17.4,1671.0
149,24.9,1649.0
150,34.1,1719.0
151,32.8,1642.0
152,21.0,1650.0
153,32.0,1875.0
154,25.4,1696.0
155,29.8,1537.0
156,20.2,1601.0
157,33.0,1608.0
158,22.6,1658.0
159,30.5,1731.0
160,23.3,1735.0
161,28.2,1784.0
162,33.9,1697.0
163,22.4,1709.0
164,35.3,1838.0
165,26.7,1690.0
166,23.2,1928.0
167,35.5,1583.0
168,27.5,1589.0
169,25.7,1730.0
170,27.5,1618.0
171,28.5,1871.0
172,39.4,1695.0
173,27.2,1596.0
174,24.5,1863.0
175,47.8,1702.0
176,34.9,1810.0
177,41.5,1770.0
178,34.2,1745.0
179,28.4,1766.0
180,23.9,1746.0
181,26.6,1711.0
182,22.7,1641.0
183,27.7,1804.0
184,26.0,1823.0
185,40.9,1737.0
186,29.7,1704.0
187,23.4,1567.0
188,28.3,1779.0
189,22.8,1695.0
190,28.3,1723.0
191,26.9,1665.0
192,33.3,1760.0
193,25.8,1718.0
194,24.7,1766.0
195,29.4,1699.0
196,24.7,1711.0
197,20.7,1705.0
198,48.4,1685.0
199,26.8,1721.0
200,36.2,1769.0
201,27.1,1744.0
202,26.2,1662.0
203,32.2,1566.0
204,28.2,1812.0
205,35.1,1812.0
206,28.3,1705.0
207,22.6,1768.0
208,22.5,1726.0
209,27.0,1644.0
210,26.5,1690.0
211,28.4,1787.0
212,24.7,1748.0
213,28.1,1807.0
214,28.7,1828.0
215,28.3,1753.0
216,39.3,1654.0
217,27.7,1869.0
218,26.3,1747.0
219,29.0,1749.0
220,34.0,1681.0
221,21.7,1667.0
222,30.2,1831.0
223,22.0,1722.0
224,30.7,1728.0
225,31.2,1710.0
226,25.8,1714.0
227,24.4,1724.0
228,24.1,1736.0
229,40.0,1704.0
230,32.6,1646.0
231,37.7,1800.0
232,21.0,1640.0
233,34.8,1563.0
234,17.9,1724.0
235,35.4,1760.0
236,24.0,1758.0
237,25.2,1771.0
238,31.2,1745.0
239,18.8,1711.0
240,37.4,1717.0
241,30.6,1866.0
242,39.7,1711.0
243,21.1,1722.0
244,27.8,1765.0
245,38.7,1664.0
246,24.7,1633.0
247,29.9,1902.0
248,30.6,1836.0
249,21.8,1761.0
250,38.2,1648.0
251,26.1,1769.0
252,21.0,1808.0
253,25.1,1788.0
254,34.1,1798.0
255,39.9,1620.0
256,27.8,1576.0
257,27.1,1716.0
258,31.3,1797.0
259,28.4,1762.0
260,26.0,1739.0
261,34.1,1737.0
262,32.5,1610.0
263,33.7,1802.0
264,30.2,1781.0
265,55.7,1799.0
266,32.5,1817.0
267,33.2,1795.0
268,24.8,1682.0
269,23.0,1552.0
270,24.4,1730.0
271,32.3,1671.0
272,26.0,1620.0
273,51.5,1734.0
274,16.2,1726.0
275,23.2,1894.0
276,27.6,1767.0
277,40.0,1738.0
278,25.1,1769.0
279,25.1,1585.0
280,26.7,1779.0
281,30.2,1705.0
282,32.1,1631.0
283,24.8,1811.0
284,24.9,1766.0
285,27.1,1613.0
286,45.3,1661.0
287,32.5,1725.0
288,24.1,1596.0
289,34.1,1669.0
290,22.6,1746.0
291,22.3,1652.0
292,22.0,1682.0
293,29.9,1556.0
294,27.9,1831.0
295,25.2,1704.0
296,34.1,1722.0
297,34.9,1731.0
298,41.4,1762.0
299,28.1,1752.0
300,25.4,1770.0
301,27.2,1738.0
302,27.6,1620.0
303,27.2,1727.0
304,27.7,1805.0
305,24.4,1610.0
306,30.2,1851.0
307,25.6,1778.0
308,15.7,1722.0
309,24.2,1661.0
310,25.9,1639.0
311,32.0,1720.0
312,26.5,1691.0
313,31.9,1618.0
314,25.5,1731.0
315,30.6,1762.0
316,28.4,1711.0
317,26.9,1871.0
318,20.0,1625.0
319,22.4,1709.0
320,21.6,1842.0
321,31.4,1666.0
322,31.9,1720.0
323,30.3,1744.0
324,17.0,1828.0
325,26.7,1855.0
326,21.1,1772.0
327,27.7,1688.0
328,24.3,1810.0
329,26.5,1778.0
330,42.1,1894.0
331,29.5,1721.0
332,21.5,1555.0
333,28.9,1636.0
334,26.1,1875.0
335,22.1,1771.0
336,37.1,1921.0
337,24.7,1736.0
338,22.3,1659.0
339,32.4,1651.0
340,23.8,1698.0
341,26.6,1695.0
342,29.5,1559.0
343,34.2,1698.0
344,28.2,1648.0
345,19.9,1582.0
346,26.2,1818.0
347,28.6,1605.0
348,42.5,1849.0
349,25.4,1701.0
350,25.6,1676.0
351,21.6,1645.0
352,23.9,1800.0
353,29.0,1644.0
354,19.9,1848.0
355,32.7,1734.0
356,29.7,1834.0
357,22.4,1590.0
358,32.5,1724.0
359,27.9,1715.0
360,26.9,1655.0
361,23.3,1663.0
362,29.1,1743.0
363,21.3,1650.0
364,25.1,1810.0
365,25.9,1731.0
366,24.7,1753.0
367,25.2,1864.0
368,26.9,1670.0
369,30.5,1722.0
370,27.3,1807.0
371,25.1,1540.0
372,36.7,1738.0
373,22.3,1689.0
374,33.3,1682.0
375,36.9,1749.0
376,29.5,1623.0
377,30.6,1844.0
378,22.8,1673.0
379,25.5,1753.0
380,26.1,1626.0
381,26.5,1808.0
382,30.2,1741.0
383,28.6,1874.0
384,27.0,1751.0
385,29.2,1781.0
386,35.7,1518.0
387,23.7,1829.0
388,28.2,1652.0
389,23.2,1680.0
390,18.6,1576.0
391,32.9,1801.0
392,25.7,1757.0
393,26.2,1858.0
394,36.0,1748.0
395,24.6,1739.0
396,30.3,1905.0
397,34.1,1705.0
398,28.1,1864.0
399,29.8,1681.0
400,30.0,1630.0
401,24.3,1636.0
402,20.2,1732.0
403,29.2,1621.0
404,36.1,1706.0
405,26.8,1645.0
406,50.9,1816.0
407,24.5,1853.0
408,38.1,1871.0
409,25.1,1808.0
410,20.0,1664.0
411,23.4,1616.0
412,28.0,1652.0
413,30.5,1749.0
414,30.9,1794.0
415,17.2,1802.0
416,22.0,1686.0
417,26.7,1609.0
418,32.1,1680.0
419,29.1,1667.0
420,29.9,1688.0
421,23.7,1764.0
422,27.7,1726.0
423,23.2,1624.0
424,27.5,1808.0
425,24.5,1641.0
426,26.3,1897.0
427,23.7,1690.0
428,24.6,1613.0
429,37.2,1701.0
430,27.3,1677.0
431,27.8,1808.0
432,40.6,1727.0
433,19.7,1603.0
434,22.9,1634.0
435,19.2,1765.0
436,22.4,1753.0
437,28.8,1619.0
438,26.4,1639.0
439,18.5,1718.0
440,22.7,1707.0
441,23.4,1723.0
442,32.9,1907.0
443,24.7,1693.0
444,27.1,1724.0
445,26.9,1676.0
446,25.4,1758.0
447,29.3,1863.0
448,29.9,1734.0
449,22.6,1759.0
450,27.5,1556.0
451,22.1,1790.0
452,18.8,1629.0
453,21.6,1843.0
454,22.7,1747.0
455,41.2,1675.0
456,24.4,1820.0
457,25.8,1616.0
458,27.5,1635.0
459,27.3,1769.0
460,26.7,1675.0
461,26.4,1699.0
462,24.1,1784.0
463,22.8,1666.0
464,29.8,1669.0
465,27.1,1730.0
466,29.0,1694.0
467,39.8,1729.0
468,30.5,1715.0
469,23.9,1711.0
470,22.6,1736.0
471,20.9,1729.0
472,27.8,1717.0
473,25.5,1582.0
474,31.3,1707.0
475,28.1,1525.0
476,23.8,1762.0
477,29.8,1651.0
478,22.3,1777.0
479,22.6,1717.0
480,27.0,1788.0
481,27.2,1637.0
482,32.1,1756.0
483,28.6,1743.0
484,28.1,1820.0
485,38.5,1691.0
486,30.7,1734.0
487,23.5,1827.0
488,26.2,1758.0
489,18.4,1784.0
490,30.3,1624.0
491,31.7,1703.0
492,26.4,1720.0
493,25.9,1763.0
494,27.5,1860.0
495,23.7,1828.0
496,40.7,1785.0
497,28.4,1823.0
498,27.5,1817.0
499,22.5,1837.0
500,22.9,1659.0
501,32.4,1812.0
502,29.2,1780.0
503,37.8,1736.0
504,31.1,1850.0
505,25.4,1692.0
506,26.8,1726.0
